"gisds_case_reference","gisds_open_date","gisds_close_date","gisds_handler","gisds_case_category","gisds_severity_band","gisds_claimant","gisds_status","gisds_location","original_source","dq_case_id_status","dq_status_status","dq_category_mapping","dq_severity_mapping","picklist_case_type_flag","picklist_status_flag"
"143","2023-05-23","2023-10-21","Smith","MOTOR","HIGH","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"144","2023-05-24","2023-10-22","Brown","EMPLOYERS LIABILITY","MEDIUM","ClientD","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"145","2023-05-25","2023-10-23","Patel","EMPLOYERS LIABILITY","LOW","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"146","2023-05-26","2023-10-24","Smith","MOTOR","LOW","ClientD","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"147","2023-05-27","2023-10-25","Patel","MOTOR","MEDIUM","ClientB","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"148","2023-05-28","2023-10-26","Jones","MOTOR","MEDIUM","ClientC","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"149","2023-05-29","2023-10-27","Jones","EMPLOYERS LIABILITY","MEDIUM","ClientA","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"150","2023-05-30","2023-10-28","Jones","PUBLIC LIABILITY","HIGH","ClientA","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"151","2023-05-31","2023-10-29","Patel","MOTOR","HIGH","ClientD","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"152","2023-06-01","2023-10-30","Smith","EMPLOYERS LIABILITY","MEDIUM","ClientA","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"153","2023-06-02","2023-10-31","Brown","PUBLIC LIABILITY","HIGH","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"154","2023-06-03","2023-11-01","Jones","PUBLIC LIABILITY","MEDIUM","ClientA","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"155","2023-06-04","2023-11-02","Brown","PUBLIC LIABILITY","HIGH","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"156","2023-06-05","2023-11-03","Patel","MOTOR","LOW","ClientA","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"157","2023-06-06","2023-11-04","Jones","MOTOR","MEDIUM","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"158","2023-06-07","2023-11-05","Patel","EMPLOYERS LIABILITY","MEDIUM","ClientD","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"159","2023-06-08","2023-11-06","Jones","MOTOR","MEDIUM","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"160","2023-06-09","2023-11-07","Jones","PUBLIC LIABILITY","HIGH","ClientD","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"161","2023-06-10","2023-11-08","Brown","MOTOR","MEDIUM","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"162","2023-06-11","2023-11-09","Brown","EMPLOYERS LIABILITY","LOW","ClientC","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"163","2023-06-12","2023-11-10","Smith","EMPLOYERS LIABILITY","HIGH","ClientD","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"164","2023-06-13","2023-11-11","Patel","EMPLOYERS LIABILITY","HIGH","ClientD","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"165","2023-06-14","2023-11-12","Patel","EMPLOYERS LIABILITY","MEDIUM","ClientA","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"166","2023-06-15","2023-11-13","Smith","MOTOR","MEDIUM","ClientA","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"167","2023-06-16","2023-11-14","Smith","MOTOR","LOW","ClientD","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"168","2023-06-17","2023-11-15","Smith","PUBLIC LIABILITY","LOW","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"169","2023-06-18","2023-11-16","Jones","EMPLOYERS LIABILITY","LOW","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"170","2023-06-19","2023-11-17","Smith","MOTOR","HIGH","ClientD","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"171","2023-06-20","2023-11-18","Smith","EMPLOYERS LIABILITY","HIGH","ClientC","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"172","2023-06-21","2023-11-19","Patel","MOTOR","LOW","ClientD","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"173","2023-06-22","2023-11-20","Brown","MOTOR","MEDIUM","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"174","2023-06-23","2023-11-21","Brown","PUBLIC LIABILITY","LOW","ClientB","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"175","2023-06-24","2023-11-22","Jones","PUBLIC LIABILITY","MEDIUM","ClientB","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"176","2023-06-25","2023-11-23","Jones","MOTOR","LOW","ClientA","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"177","2023-06-26","2023-11-24","Jones","MOTOR","HIGH","ClientB","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"178","2023-06-27","2023-11-25","Brown","PUBLIC LIABILITY","HIGH","ClientB","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"179","2023-06-28","2023-11-26","Patel","MOTOR","MEDIUM","ClientD","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"180","2023-06-29","2023-11-27","Smith","PUBLIC LIABILITY","LOW","ClientA","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"181","2023-06-30","2023-11-28","Brown","PUBLIC LIABILITY","MEDIUM","ClientC","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"182","2023-07-01","2023-11-29","Patel","PUBLIC LIABILITY","MEDIUM","ClientC","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"183","2023-07-02","2023-11-30","Patel","MOTOR","MEDIUM","ClientD","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"184","2023-07-03","2023-12-01","Brown","EMPLOYERS LIABILITY","LOW","ClientB","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"185","2023-07-04","2023-12-02","Patel","PUBLIC LIABILITY","MEDIUM","ClientD","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"186","2023-07-05","2023-12-03","Smith","PUBLIC LIABILITY","MEDIUM","ClientD","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
